iter,t,j,evidence_class,evidence_is_onehot
,334,1,0,True
,334,2,0,True
,334,3,2,True
,335,0,0,True
,335,1,0,True
,335,2,0,True
,335,3,0,True
,336,0,0,True
,336,1,0,True
,336,2,0,True
,336,3,2,True
,337,0,0,True
,337,1,0,True
,337,2,0,True
,337,3,0,True
,338,0,0,True
,338,1,0,True
,338,2,0,True
,338,3,2,True
,339,0,0,True
,339,1,0,True
,339,2,0,True
,339,3,0,True
,340,0,0,True
,340,1,0,True
,340,2,0,True
,340,3,0,True
,341,0,0,True
,341,1,0,True
,341,2,0,True
,341,3,0,True
,342,0,0,True
,342,1,0,True
,342,2,0,True
,342,3,0,True
,343,0,0,True
,343,1,0,True
,343,2,0,True
,343,3,0,True
,344,0,0,True
,344,1,0,True
,344,2,0,True
,344,3,0,True
,345,0,0,True
,345,1,0,True
,345,2,0,True
,345,3,0,True
,346,0,0,True
,346,1,0,True
,346,2,0,True
,346,3,0,True
,347,0,0,True
,347,1,0,True
,347,2,0,True
,347,3,0,True
,348,0,0,True
,348,1,0,True
,348,2,0,True
,348,3,0,True
,349,0,0,True
,349,1,0,True
,349,2,0,True
,349,3,0,True
,350,0,0,True
,350,1,0,True
,350,2,0,True
,350,3,0,True
,351,0,0,True
,351,1,0,True
,351,2,0,True
,351,3,0,True
,352,0,0,True
,352,1,0,True
,352,2,0,True
,352,3,0,True
,353,0,0,True
,353,1,0,True
,353,2,0,True
,353,3,0,True
,354,0,0,True
,354,1,0,True
,354,2,0,True
,354,3,0,True
,355,0,0,True
,355,1,0,True
,355,2,0,True
,355,3,0,True
,356,0,0,True
,356,1,0,True
,356,2,0,True
,356,3,0,True
,357,0,0,True
,357,1,0,True
,357,2,0,True
,357,3,0,True
,358,0,0,True
,358,1,0,True
,358,2,0,True
,358,3,0,True
,359,0,0,True
,359,1,0,True
,359,2,0,True
,359,3,0,True
,360,0,0,True
,360,1,0,True
,360,2,0,True
,360,3,0,True
,361,0,0,True
,361,1,0,True
,361,2,0,True
,361,3,0,True
,362,0,0,True
,362,1,0,True
,362,2,0,True
,362,3,0,True
,363,0,0,True
,363,1,0,True
,363,2,0,True
,363,3,0,True
,364,0,0,True
,364,1,0,True
,364,2,0,True
,364,3,0,True
,365,0,0,True
,365,1,0,True
,365,2,0,True
,365,3,0,True
,366,0,0,True
,366,1,0,True
,366,2,0,True
,366,3,0,True
,367,0,0,True
,367,1,0,True
,367,2,0,True
,367,3,0,True
,368,0,0,True
,368,1,0,True
,368,2,0,True
,368,3,0,True
,369,0,0,True
,369,1,0,True
,369,2,0,True
,369,3,0,True
,370,0,0,True
,370,1,0,True
,370,2,0,True
,370,3,0,True
,371,0,0,True
,371,1,0,True
,371,2,0,True
,371,3,0,True
,372,0,0,True
,372,1,0,True
,372,2,0,True
,372,3,0,True
,373,0,0,True
,373,1,0,True
,373,2,0,True
,373,3,0,True
,374,0,0,True
,374,1,0,True
,374,2,0,True
,374,3,0,True
,375,0,0,True
,375,1,0,True
,375,2,0,True
,375,3,0,True
,376,0,0,True
,376,1,0,True
,376,2,0,True
,376,3,0,True
,377,0,0,True
,377,1,0,True
,377,2,0,True
,377,3,0,True
,378,0,0,True
,378,1,0,True
,378,2,0,True
,378,3,0,True
,379,0,0,True
,379,1,0,True
,379,2,0,True
,379,3,0,True
,380,0,0,True
,380,1,0,True
,380,2,0,True
,380,3,0,True
,381,0,0,True
,381,1,0,True
,381,2,0,True
,381,3,0,True
,382,0,0,True
,382,1,0,True
,382,2,0,True
,382,3,0,True
,383,0,0,True
,383,1,0,True
,383,2,0,True
,383,3,0,True
,384,0,0,True
